Iso3_code,Country,Region,Subregion,Indicator,Year,VALUE
ALB,Albania,Europe,Southern Europe,Offences of trafficking in persons,2012,30
ALB,Albania,Europe,Southern Europe,Persons brought into formal contact,2012,34
ALB,Albania,Europe,Southern Europe,Persons convicted,2012,2
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2012,30
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2013,95
ALB,Albania,Europe,Southern Europe,Offences of trafficking in persons,2013,51
ALB,Albania,Europe,Southern Europe,Persons brought into formal contact,2013,53
ALB,Albania,Europe,Southern Europe,Persons convicted,2013,2
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2013,42
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2014,125
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2015,109
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2016,95
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2017,95
ALB,Albania,Europe,Southern Europe,Offences of trafficking in persons,2017,22
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2017,91
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2018,95
ALB,Albania,Europe,Southern Europe,Offences of trafficking in persons,2018,22
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2018,54
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2019,103
ALB,Albania,Europe,Southern Europe,Offences of trafficking in persons,2019,25
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2019,41
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2020,86
ALB,Albania,Europe,Southern Europe,Offences of trafficking in persons,2020,28
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2020,24
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2021,159
ALB,Albania,Europe,Southern Europe,Offences of trafficking in persons,2021,10
AND,Andorra,Europe,Southern Europe,Detected trafficking victims,2017,2
AND,Andorra,Europe,Southern Europe,Offences of trafficking in persons,2017,2
AND,Andorra,Europe,Southern Europe,Persons brought into formal contact,2017,2
AND,Andorra,Europe,Southern Europe,Persons convicted,2017,2
AND,Andorra,Europe,Southern Europe,Persons prosecuted,2017,2
AND,Andorra,Europe,Southern Europe,Detected trafficking victims,2018,2
AND,Andorra,Europe,Southern Europe,Offences of trafficking in persons,2018,2
AND,Andorra,Europe,Southern Europe,Persons brought into formal contact,2018,33
AND,Andorra,Europe,Southern Europe,Persons convicted,2018,2
AND,Andorra,Europe,Southern Europe,Persons prosecuted,2018,33
AND,Andorra,Europe,Southern Europe,Detected trafficking victims,2019,2
AND,Andorra,Europe,Southern Europe,Offences of trafficking in persons,2019,2
AND,Andorra,Europe,Southern Europe,Detected trafficking victims,2020,2
AND,Andorra,Europe,Southern Europe,Offences of trafficking in persons,2020,2
AND,Andorra,Europe,Southern Europe,Detected trafficking victims,2021,2
AND,Andorra,Europe,Southern Europe,Offences of trafficking in persons,2021,2
AND,Andorra,Europe,Southern Europe,Persons brought into formal contact,2021,2
AND,Andorra,Europe,Southern Europe,Persons prosecuted,2021,2
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2008,43
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2008,6
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2008,43
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2009,33
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2009,35
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2009,125
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2010,152
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2010,58
ARE,United Arab Emirates,Asia,Western Asia,Persons brought into formal contact,2010,258
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2010,54
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2010,169
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2011,51
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2011,37
ARE,United Arab Emirates,Asia,Western Asia,Persons brought into formal contact,2011,108
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2011,43
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2011,111
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2012,75
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2012,47
ARE,United Arab Emirates,Asia,Western Asia,Persons brought into formal contact,2012,192
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2012,64
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2012,149
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2013,24
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2013,19
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2013,50
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2014,20
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2014,15
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2015,17
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2015,17
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2016,34
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2016,25
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2016,9
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2016,106
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2017,28
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2017,16
ARE,United Arab Emirates,Asia,Western Asia,Persons brought into formal contact,2017,48
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2017,43
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2017,48
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2018,51
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2018,30
ARE,United Arab Emirates,Asia,Western Asia,Persons brought into formal contact,2018,77
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2018,73
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2018,77
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2019,41
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2019,23
ARE,United Arab Emirates,Asia,Western Asia,Persons brought into formal contact,2019,67
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2019,67
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2019,67
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,2020,23
ARE,United Arab Emirates,Asia,Western Asia,Offences of trafficking in persons,2020,19
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,2020,47
ARE,United Arab Emirates,Asia,Western Asia,Persons prosecuted,2020,51
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2008,186
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2009,422
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2010,263
ARG,Argentina,Americas,Latin America and the Caribbean,Offences of trafficking in persons,2010,63
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,2010,29
ARG,Argentina,Americas,Latin America and the Caribbean,Persons prosecuted,2010,103
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2011,150
ARG,Argentina,Americas,Latin America and the Caribbean,Offences of trafficking in persons,2011,56
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,2011,48
ARG,Argentina,Americas,Latin America and the Caribbean,Persons prosecuted,2011,77
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2012,303
ARG,Argentina,Americas,Latin America and the Caribbean,Offences of trafficking in persons,2012,1757
ARG,Argentina,Americas,Latin America and the Caribbean,Persons brought into formal contact,2012,540
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,2012,39
ARG,Argentina,Americas,Latin America and the Caribbean,Persons prosecuted,2012,117
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2013,374
ARG,Argentina,Americas,Latin America and the Caribbean,Offences of trafficking in persons,2013,2004
ARG,Argentina,Americas,Latin America and the Caribbean,Persons brought into formal contact,2013,628
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,2013,30
ARG,Argentina,Americas,Latin America and the Caribbean,Persons prosecuted,2013,238
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2014,375
ARG,Argentina,Americas,Latin America and the Caribbean,Offences of trafficking in persons,2014,2386
ARG,Argentina,Americas,Latin America and the Caribbean,Persons brought into formal contact,2014,512
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,2014,72
ARG,Argentina,Americas,Latin America and the Caribbean,Persons prosecuted,2014,138
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2015,243
ARG,Argentina,Americas,Latin America and the Caribbean,Offences of trafficking in persons,2015,2948
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,2015,100
ARG,Argentina,Americas,Latin America and the Caribbean,Persons prosecuted,2015,147
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2016,414
ARG,Argentina,Americas,Latin America and the Caribbean,Offences of trafficking in persons,2016,1981
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,2016,88
ARG,Argentina,Americas,Latin America and the Caribbean,Persons prosecuted,2016,169
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2017,1200
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2018,1531
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2019,1590
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2020,933
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,2021,1404
ARM,Armenia,Asia,Western Asia,Persons convicted,2003,2
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2003,2
ARM,Armenia,Asia,Western Asia,Persons convicted,2004,2
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2004,2
ARM,Armenia,Asia,Western Asia,Persons convicted,2005,11
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2005,15
ARM,Armenia,Asia,Western Asia,Persons convicted,2006,8
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2006,9
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2007,36
ARM,Armenia,Asia,Western Asia,Persons convicted,2007,11
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2007,7
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2008,34
ARM,Armenia,Asia,Western Asia,Persons convicted,2008,2
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2008,22
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2009,60
ARM,Armenia,Asia,Western Asia,Persons convicted,2009,11
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2009,10
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2010,19
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2010,13
ARM,Armenia,Asia,Western Asia,Persons convicted,2010,5
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2010,15
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2011,13
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2011,17
ARM,Armenia,Asia,Western Asia,Persons convicted,2011,12
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2011,13
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2012,14
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2012,15
ARM,Armenia,Asia,Western Asia,Persons brought into formal contact,2012,12
ARM,Armenia,Asia,Western Asia,Persons convicted,2012,9
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2012,13
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2013,21
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2013,11
ARM,Armenia,Asia,Western Asia,Persons brought into formal contact,2013,10
ARM,Armenia,Asia,Western Asia,Persons convicted,2013,14
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2013,12
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2014,8
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2014,9
ARM,Armenia,Asia,Western Asia,Persons convicted,2014,2
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2014,9
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2015,5
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2015,14
ARM,Armenia,Asia,Western Asia,Persons brought into formal contact,2015,2
ARM,Armenia,Asia,Western Asia,Persons convicted,2015,2
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2015,2
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2016,25
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2016,13
ARM,Armenia,Asia,Western Asia,Persons brought into formal contact,2016,6
ARM,Armenia,Asia,Western Asia,Persons convicted,2016,2
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2016,6
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2017,12
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2017,6
ARM,Armenia,Asia,Western Asia,Persons convicted,2017,2
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2017,2
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2018,28
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2018,6
ARM,Armenia,Asia,Western Asia,Persons convicted,2018,2
ARM,Armenia,Asia,Western Asia,Persons prosecuted,2018,2
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2019,8
ARM,Armenia,Asia,Western Asia,Offences of trafficking in persons,2019,7
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2020,11
ARM,Armenia,Asia,Western Asia,Persons convicted,2020,10
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,2021,13
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Detected trafficking victims,2014,7
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Detected trafficking victims,2015,8
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2003,2
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2004,2
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2005,2
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2006,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2007,18
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2007,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2007,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2008,25
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2008,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2008,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2009,33
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2009,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2009,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2010,31
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2010,5
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2010,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2011,11
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2011,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2011,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2012,16
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2012,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2012,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2013,21
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2013,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2013,8
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2014,33
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2014,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2014,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2015,35
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2015,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2015,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2016,36
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2016,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2016,8
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2017,90
AUS,Australia,Oceania,Australia and New Zealand,Offences of trafficking in persons,2017,2
AUS,Australia,Oceania,Australia and New Zealand,Persons brought into formal contact,2017,166
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2017,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2017,6
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2018,134
AUS,Australia,Oceania,Australia and New Zealand,Offences of trafficking in persons,2018,2
AUS,Australia,Oceania,Australia and New Zealand,Persons brought into formal contact,2018,179
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2018,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2018,2
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2019,189
AUS,Australia,Oceania,Australia and New Zealand,Offences of trafficking in persons,2019,2
AUS,Australia,Oceania,Australia and New Zealand,Persons brought into formal contact,2019,235
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2019,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2019,8
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,2020,193
AUS,Australia,Oceania,Australia and New Zealand,Offences of trafficking in persons,2020,2
AUS,Australia,Oceania,Australia and New Zealand,Persons brought into formal contact,2020,233
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,2020,2
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,2020,2
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2007,12
AUT,Austria,Europe,Western Europe,Persons convicted,2007,30
AUT,Austria,Europe,Western Europe,Persons prosecuted,2007,13
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2008,2
AUT,Austria,Europe,Western Europe,Persons convicted,2008,18
AUT,Austria,Europe,Western Europe,Persons prosecuted,2008,2
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2009,22
AUT,Austria,Europe,Western Europe,Persons convicted,2009,32
AUT,Austria,Europe,Western Europe,Persons prosecuted,2009,34
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2010,14
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2010,152
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2010,244
AUT,Austria,Europe,Western Europe,Persons convicted,2010,14
AUT,Austria,Europe,Western Europe,Persons prosecuted,2010,16
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2011,162
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2011,234
AUT,Austria,Europe,Western Europe,Persons convicted,2011,9
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2012,28
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2012,22
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2012,31
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2013,23
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2013,24
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2013,25
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2014,79
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2014,64
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2014,99
AUT,Austria,Europe,Western Europe,Persons convicted,2014,31
AUT,Austria,Europe,Western Europe,Persons prosecuted,2014,127
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2015,126
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2015,98
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2015,103
AUT,Austria,Europe,Western Europe,Persons convicted,2015,21
AUT,Austria,Europe,Western Europe,Persons prosecuted,2015,108
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2016,72
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2016,51
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2016,98
AUT,Austria,Europe,Western Europe,Persons convicted,2016,17
AUT,Austria,Europe,Western Europe,Persons prosecuted,2016,138
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2017,354
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2017,34
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2017,66
AUT,Austria,Europe,Western Europe,Persons convicted,2017,11
AUT,Austria,Europe,Western Europe,Persons prosecuted,2017,242
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2018,343
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2018,41
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2018,62
AUT,Austria,Europe,Western Europe,Persons convicted,2018,14
AUT,Austria,Europe,Western Europe,Persons prosecuted,2018,278
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2019,176
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2019,42
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2019,62
AUT,Austria,Europe,Western Europe,Persons convicted,2019,19
AUT,Austria,Europe,Western Europe,Persons prosecuted,2019,150
AUT,Austria,Europe,Western Europe,Detected trafficking victims,2020,129
AUT,Austria,Europe,Western Europe,Offences of trafficking in persons,2020,41
AUT,Austria,Europe,Western Europe,Persons brought into formal contact,2020,61
AUT,Austria,Europe,Western Europe,Persons convicted,2020,7
AUT,Austria,Europe,Western Europe,Persons prosecuted,2020,135
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2003,2
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2003,2
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2004,2
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2004,2
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2005,2
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2005,2
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2006,63
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2006,88
AZE,Azerbaijan,Asia,Western Asia,Detected trafficking victims,2007,101
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2007,64
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2007,93
AZE,Azerbaijan,Asia,Western Asia,Detected trafficking victims,2008,78
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2008,90
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2008,91
AZE,Azerbaijan,Asia,Western Asia,Detected trafficking victims,2009,91
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2009,68
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2009,76
AZE,Azerbaijan,Asia,Western Asia,Detected trafficking victims,2010,34
AZE,Azerbaijan,Asia,Western Asia,Offences of trafficking in persons,2010,70
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2010,38
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2010,39
AZE,Azerbaijan,Asia,Western Asia,Detected trafficking victims,2011,29
AZE,Azerbaijan,Asia,Western Asia,Offences of trafficking in persons,2011,69
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2011,20
AZE,Azerbaijan,Asia,Western Asia,Detected trafficking victims,2012,53
AZE,Azerbaijan,Asia,Western Asia,Offences of trafficking in persons,2012,91
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2012,17
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2012,22
AZE,Azerbaijan,Asia,Western Asia,Detected trafficking victims,2013,56
AZE,Azerbaijan,Asia,Western Asia,Offences of trafficking in persons,2013,84
AZE,Azerbaijan,Asia,Western Asia,Persons convicted,2013,17
AZE,Azerbaijan,Asia,Western Asia,Persons prosecuted,2013,17
